Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.8689320388349514,0.9418689320388348
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.5097187761098577,0.7191280670700428
Raw ensemble,Overall,NA,F1-macro,0.5,0.507373455559984,0.7317708333333333
Raw ensemble,Overall,NA,Precision,0.5,0.1,0.7146103896103894
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.058741830065359484,0.46676470588235286
Raw ensemble,Overall,NA,Specificity,0.5,0.9421052631578948,0.9895833333333334
Raw ensemble,Overall,NA,ROC AUC,probability,0.7234538896203644,0.9158813263525305
Raw ensemble,Overall,NA,PR AUC,probability,0.22993115611160794,0.6591490669126487
Raw ensemble,Per-class,0,Precision,0.5,0.896364720668958,0.964824120603015
Raw ensemble,Per-class,0,Recall,0.5,0.9427083333333334,0.9895287958115183
Raw ensemble,Per-class,0,F1,0.5,0.9259160756501182,0.9712831033196568
Raw ensemble,Per-class,1,Precision,0.5,0.11083333333333334,0.75
Raw ensemble,Per-class,1,Recall,0.5,0.058823529411764705,0.45454545454545453
Raw ensemble,Per-class,1,F1,0.5,0.07692307692307693,0.521853546910755
Calibrated ensemble,Overall,NA,Accuracy,0.2377859652042389,0.7475728155339806,0.8592233009708737
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.2377859652042389,0.5735632578357355,0.8289107183710821
Calibrated ensemble,Overall,NA,F1-macro,0.2377859652042389,0.5251468275814365,0.6932912944473638
Calibrated ensemble,Overall,NA,Precision,0.2377859652042389,0.10256410256410256,0.36589099054255847
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.2377859652042389,0.3333333333333333,0.8183155080213903
Calibrated ensemble,Overall,NA,Specificity,0.2377859652042389,0.7729491667833637,0.8776757570640549
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.7297948883161511,0.909712641609063
Calibrated ensemble,Overall,NA,PR AUC,probability,0.21241666944549817,0.6587824331084255
Calibrated ensemble,Per-class,0,Precision,0.2377859652042389,0.9221556886227545,0.9824561403508771
Calibrated ensemble,Per-class,0,Recall,0.2377859652042389,0.7624242197999105,0.8770075882054192
Calibrated ensemble,Per-class,0,F1,0.2377859652042389,0.8512901515863991,0.9213498370938766
Calibrated ensemble,Per-class,1,Precision,0.2377859652042389,0.11363636363636363,0.36363636363636365
Calibrated ensemble,Per-class,1,Recall,0.2377859652042389,0.35294117647058826,0.8
Calibrated ensemble,Per-class,1,F1,0.2377859652042389,0.16666666666666666,0.4857142857142857
