case_id,overlap_winner,overlap_ranksum__Baseline,overlap_ranksum__Boundary,overlap_ranksum__BC_nnUNet,boundary_winner,boundary_ranksum__Baseline,boundary_ranksum__Boundary,boundary_ranksum__BC_nnUNet,all_winner,all_ranksum__Baseline,all_ranksum__Boundary,all_ranksum__BC_nnUNet
case01,BC_nnUNet,10.0,8.0,6.0,Boundary,14.0,8.0,8.0,BC_nnUNet,24.0,16.0,14.0
case02,BC_nnUNet,10.0,8.0,6.0,BC_nnUNet,15.0,10.0,5.0,BC_nnUNet,25.0,18.0,11.0
case03,Boundary,11.0,5.0,8.0,Boundary,12.0,9.0,9.0,Boundary,23.0,14.0,17.0
case04,Baseline,6.0,8.0,10.0,Baseline,10.0,10.0,10.0,Baseline,16.0,18.0,20.0
case05,BC_nnUNet,7.0,11.0,6.0,BC_nnUNet,14.0,11.0,5.0,BC_nnUNet,21.0,22.0,11.0
case06,BC_nnUNet,8.0,11.0,5.0,BC_nnUNet,12.0,11.0,7.0,BC_nnUNet,20.0,22.0,12.0
case07,Baseline,6.0,10.0,8.0,Baseline,6.0,13.0,11.0,Baseline,12.0,23.0,19.0
case08,Boundary,10.0,6.0,8.0,Boundary,13.0,6.0,11.0,Boundary,23.0,12.0,19.0
case09,Boundary,8.0,6.0,10.0,Boundary,9.0,7.0,14.0,Boundary,17.0,13.0,24.0
case10,BC_nnUNet,11.0,9.0,4.0,Baseline,9.0,11.0,10.0,BC_nnUNet,20.0,20.0,14.0
case11,Baseline,6.0,10.0,8.0,Baseline,8.5,13.0,8.5,Baseline,14.5,23.0,16.5
case12,Boundary,10.0,5.0,9.0,Boundary,13.0,7.5,9.5,Boundary,23.0,12.5,18.5
case13,BC_nnUNet,12.0,7.0,5.0,BC_nnUNet,15.0,10.0,5.0,BC_nnUNet,27.0,17.0,10.0
case14,Baseline,4.0,8.0,12.0,BC_nnUNet,15.0,8.5,6.5,Boundary,19.0,16.5,18.5
case15,BC_nnUNet,11.0,9.0,4.0,BC_nnUNet,13.0,10.0,7.0,BC_nnUNet,24.0,19.0,11.0
case16,BC_nnUNet,10.0,8.0,6.0,BC_nnUNet,15.0,8.5,6.5,BC_nnUNet,25.0,16.5,12.5
case17,Boundary,10.0,6.0,8.0,BC_nnUNet,12.0,11.0,7.0,BC_nnUNet,22.0,17.0,15.0
case18,BC_nnUNet,11.0,8.0,5.0,BC_nnUNet,12.0,12.0,6.0,BC_nnUNet,23.0,20.0,11.0
case19,Baseline,4.0,8.0,12.0,Baseline,6.0,12.0,12.0,Baseline,10.0,20.0,24.0
case20,Boundary,10.0,6.0,8.0,Boundary,14.0,6.0,10.0,Boundary,24.0,12.0,18.0
case21,BC_nnUNet,11.0,7.0,6.0,BC_nnUNet,15.0,10.0,5.0,BC_nnUNet,26.0,17.0,11.0
case22,BC_nnUNet,10.0,8.0,6.0,BC_nnUNet,14.0,9.0,7.0,BC_nnUNet,24.0,17.0,13.0
case23,Baseline,6.0,7.0,11.0,BC_nnUNet,10.5,11.5,8.0,Baseline,16.5,18.5,19.0
case24,Baseline,6.0,7.0,11.0,Boundary,8.5,6.5,15.0,Boundary,14.5,13.5,26.0
case25,Baseline,6.0,10.0,8.0,Boundary,12.0,8.0,10.0,Baseline,18.0,18.0,18.0
case26,BC_nnUNet,11.0,8.0,5.0,BC_nnUNet,15.0,9.0,6.0,BC_nnUNet,26.0,17.0,11.0
case27,Boundary,9.0,5.0,10.0,Boundary,10.0,8.0,12.0,Boundary,19.0,13.0,22.0
case28,Boundary,12.0,5.0,7.0,Boundary,15.0,5.0,10.0,Boundary,27.0,10.0,17.0
case29,BC_nnUNet,8.0,10.0,6.0,BC_nnUNet,13.0,10.0,7.0,BC_nnUNet,21.0,20.0,13.0
case30,Baseline,4.0,8.0,12.0,Baseline,5.0,10.0,15.0,Baseline,9.0,18.0,27.0
case31,BC_nnUNet,12.0,7.0,5.0,BC_nnUNet,15.0,10.0,5.0,BC_nnUNet,27.0,17.0,10.0
case32,Boundary,11.0,5.0,8.0,Boundary,12.0,8.0,10.0,Boundary,23.0,13.0,18.0
case33,BC_nnUNet,8.0,10.0,6.0,Baseline,8.0,12.0,10.0,Baseline,16.0,22.0,16.0
case34,Boundary,10.0,5.0,9.0,Boundary,15.0,5.0,10.0,Boundary,25.0,10.0,19.0
case35,BC_nnUNet,11.0,7.0,6.0,BC_nnUNet,13.0,11.0,6.0,BC_nnUNet,24.0,18.0,12.0
case36,BC_nnUNet,8.0,10.0,6.0,BC_nnUNet,12.0,10.0,8.0,BC_nnUNet,20.0,20.0,14.0
case37,Baseline,5.0,10.0,9.0,Baseline,8.0,10.0,12.0,Baseline,13.0,20.0,21.0
case38,Boundary,9.0,5.0,10.0,Boundary,13.0,7.0,10.0,Boundary,22.0,12.0,20.0
case39,Baseline,5.0,11.5,7.5,Baseline,7.0,14.0,9.0,Baseline,12.0,25.5,16.5
case40,BC_nnUNet,11.0,7.0,6.0,Boundary,15.0,6.5,8.5,Boundary,26.0,13.5,14.5
case41,BC_nnUNet,10.0,8.0,6.0,BC_nnUNet,13.0,11.0,6.0,BC_nnUNet,23.0,19.0,12.0
case42,BC_nnUNet,11.0,8.0,5.0,BC_nnUNet,11.5,12.5,6.0,BC_nnUNet,22.5,20.5,11.0
