Dataset,Model,Metric,N,Mean±SD,Median,P05,P95,Min,Max
SeedB,Baseline,Dice,50,0.8902 ± 0.0404,0.9031374952044812,0.8113647914759887,0.931116855384127,0.7548512289780077,0.9368881814564266
SeedB,Baseline,IoU,50,0.8044 ± 0.0619,0.8233844299742457,0.6828657465820158,0.8711155939546958,0.6062337662337662,0.881269651145381
SeedB,Baseline,HD95_mm,50,1.4276 ± 2.3435,1.0,1.0,1.227817459305201,1.0,16.88194301613413
SeedB,Baseline,ASSD_mm,50,0.1729 ± 0.1810,0.1339611285727207,0.08955798944167327,0.30815496957849475,0.07501739130978767,1.324189987448839
SeedB,Baseline,SurfDice_1mm,50,0.9884 ± 0.0242,0.9963316981132959,0.9642233623129918,0.9993839396063943,0.8473912132857142,0.9996907350224696
SeedB,Baseline,SurfDice_2mm,50,0.9948 ± 0.0139,0.9997274930149432,0.9770162390700912,1.0,0.927761893037975,1.0
SeedB,Baseline,Precision,50,0.9243 ± 0.0573,0.9455117703083429,0.8227178139007136,0.9786097251400561,0.6848591549295775,0.9941544885177453
SeedB,Baseline,Sensitivity,50,0.8639 ± 0.0653,0.8736532653005993,0.7433498611945851,0.9374870005437135,0.6410871302957634,0.9580396106075865
SeedB,Baseline,AbsVolDiff_mL,50,0.5298 ± 0.6325,0.4165,0.06040000000000002,1.0603,0.009,4.391
SeedB,Boundary,Dice,50,0.8902 ± 0.0393,0.9032850117490754,0.8092957259682342,0.9293073163459782,0.758376592732421,0.9366180339631667
SeedB,Boundary,IoU,50,0.8043 ± 0.0604,0.8236279106911852,0.6798571316987269,0.8679496700193461,0.6107943747624477,0.880791722896986
SeedB,Boundary,HD95_mm,50,1.4219 ± 2.3164,1.0,1.0,1.414213562373095,1.0,16.88194301613413
SeedB,Boundary,ASSD_mm,50,0.1720 ± 0.1760,0.13147827311352223,0.08799671058241983,0.3080198781964352,0.07587836747261195,1.301236559570243
SeedB,Boundary,SurfDice_1mm,50,0.9887 ± 0.0221,0.9960192337626345,0.9663950413270725,0.9994098820631975,0.8583997757364946,0.999667128318252
SeedB,Boundary,SurfDice_2mm,50,0.9949 ± 0.0129,0.999745338518589,0.9778661576580518,1.0,0.9305027830806138,1.0
SeedB,Boundary,Precision,50,0.9262 ± 0.0558,0.9455557864576902,0.8228579643132672,0.980156049319291,0.7017438364401684,0.9937447873227689
SeedB,Boundary,Sensitivity,50,0.8622 ± 0.0650,0.874373062224115,0.7377421939841446,0.936623610667706,0.6422861710631494,0.9518294729775092
SeedB,Boundary,AbsVolDiff_mL,50,0.5302 ± 0.5546,0.4535,0.06435,1.1101999999999996,0.032,3.762
SeedB,BC_nnUNet,Dice,50,0.8899 ± 0.0407,0.9034065847991523,0.8075201569497411,0.9300469221555858,0.752022846263684,0.9380207920006348
SeedB,BC_nnUNet,IoU,50,0.8039 ± 0.0623,0.8238300464429297,0.6775079453709265,0.8692409495677145,0.6025934401220442,0.8832760424450755
SeedB,BC_nnUNet,HD95_mm,50,1.3890 ± 2.1501,1.0,1.0,1.227817459305201,1.0,15.65247584249853
SeedB,BC_nnUNet,ASSD_mm,50,0.1712 ± 0.1737,0.1348426589735788,0.08697983329971368,0.31550938896733427,0.07249181322741481,1.282340348233192
SeedB,BC_nnUNet,SurfDice_1mm,50,0.9891 ± 0.0219,0.9959373963280513,0.9741160368373275,0.9994555726589396,0.8583683202351267,0.9997377330964734
SeedB,BC_nnUNet,SurfDice_2mm,50,0.9953 ± 0.0126,0.9996375181657342,0.9827440875181085,1.0,0.931280700308639,1.0
SeedB,BC_nnUNet,Precision,50,0.9240 ± 0.0570,0.9441289469889451,0.8207917121195762,0.9787762609350682,0.6895328208160851,0.9932517924926192
SeedB,BC_nnUNet,Sensitivity,50,0.8639 ± 0.0677,0.8802212996161145,0.7355992959560402,0.9446531986966039,0.6314948041566747,0.9593823430681436
SeedB,BC_nnUNet,AbsVolDiff_mL,50,0.5280 ± 0.6059,0.4535,0.056650000000000006,1.1465499999999997,0.02,4.131
HanSeg,Baseline,Dice,42,0.8658 ± 0.0397,0.8758976885285423,0.7826071804414846,0.9182934035387605,0.7636290753607696,0.9234045733074279
HanSeg,Baseline,IoU,42,0.7654 ± 0.0603,0.7791981386565956,0.6429136778991518,0.848932544275181,0.6176375229655247,0.8577080585826334
HanSeg,Baseline,HD95_mm,42,5.3836 ± 7.6923,1.4173035551171185,0.60361328125,18.558871738585054,0.55859375,37.44578926647244
HanSeg,Baseline,ASSD_mm,42,0.4877 ± 0.5169,0.2740589057841196,0.12498333933280772,1.5557537803067556,0.1034815360996454,2.369218052686922
HanSeg,Baseline,SurfDice_1mm,42,0.9436 ± 0.0451,0.9553205925374375,0.8714184558898127,0.9895294545209448,0.74947561812788,0.9938467660774692
HanSeg,Baseline,SurfDice_2mm,42,0.9683 ± 0.0307,0.9733469991768426,0.9027882703106213,0.9997785679378981,0.8662802625072935,0.9999437163775524
HanSeg,Baseline,Precision,42,0.8368 ± 0.0634,0.846398679570894,0.7474591993676871,0.9334770696118609,0.6599307159353349,0.9414210128495842
HanSeg,Baseline,Sensitivity,42,0.9013 ± 0.0480,0.908512309364901,0.8416998618492002,0.9561910370354268,0.738944365192582,0.9686058622228835
HanSeg,Baseline,AbsVolDiff_mL,42,0.9667 ± 0.6892,0.7387462422251702,0.21883140618205071,1.8337329027205704,0.05130986881256103,3.340192840576172
HanSeg,Boundary,Dice,42,0.8684 ± 0.0404,0.8773757243459723,0.77904831678897,0.9164014111859906,0.7607059607059607,0.9231794454111288
HanSeg,Boundary,IoU,42,0.7695 ± 0.0612,0.78154006352284,0.6381688775362668,0.8457019269455236,0.6138220120378332,0.8573196726947673
HanSeg,Boundary,HD95_mm,42,4.2098 ± 7.2376,1.2197265625,0.60361328125,18.57806342587765,0.55859375,36.03393057705517
HanSeg,Boundary,ASSD_mm,42,0.4260 ± 0.4325,0.2742115496251236,0.1290480943527299,1.4434833592828642,0.1182694436079215,1.815409620662551
HanSeg,Boundary,SurfDice_1mm,42,0.9477 ± 0.0449,0.9583172797724103,0.8799023848414073,0.989426549264803,0.7432939200265865,0.9946722305863465
HanSeg,Boundary,SurfDice_2mm,42,0.9725 ± 0.0278,0.9793507998825179,0.9084560642493201,0.9998717901000622,0.8885171295025682,0.999938852176414
HanSeg,Boundary,Precision,42,0.8405 ± 0.0615,0.8491080669044817,0.7451282138163151,0.9319955266662954,0.6559090387044907,0.9391435011269722
HanSeg,Boundary,Sensitivity,42,0.9023 ± 0.0495,0.9155592665588951,0.8403424089424725,0.9563764818631689,0.7337137422729434,0.9697070351424966
HanSeg,Boundary,AbsVolDiff_mL,42,0.9129 ± 0.6346,0.8156178245544434,0.08791951894760136,1.6679228667736048,0.004501047432422638,3.348551681518555
HanSeg,BC_nnUNet,Dice,42,0.8692 ± 0.0399,0.8792456625195365,0.7850757475764898,0.9215018823939681,0.7660736450144807,0.9237959916242896
HanSeg,BC_nnUNet,IoU,42,0.7708 ± 0.0608,0.7845271279115578,0.6462522308215013,0.8544334555454733,0.6208422746781116,0.8583837120422486
HanSeg,BC_nnUNet,HD95_mm,42,3.8993 ± 7.2705,1.189453125,0.60361328125,18.038964663743354,0.55859375,36.8696047181848
HanSeg,BC_nnUNet,ASSD_mm,42,0.4145 ± 0.4346,0.25845761256704375,0.11615124136306307,1.312995046852938,0.1103080646025391,2.051736418426156
HanSeg,BC_nnUNet,SurfDice_1mm,42,0.9489 ± 0.0427,0.9575267228980925,0.888142777885293,0.9901655528866862,0.7548304200546174,0.995485635965805
HanSeg,BC_nnUNet,SurfDice_2mm,42,0.9732 ± 0.0261,0.9776629605319571,0.9160850680587744,0.999823573205525,0.9035267780349864,0.9999153450215272
HanSeg,BC_nnUNet,Precision,42,0.8443 ± 0.0617,0.8566517063575358,0.7431277454159866,0.9330469319663768,0.674884437596302,0.938622754491018
HanSeg,BC_nnUNet,Sensitivity,42,0.8999 ± 0.0496,0.9129104429663935,0.8367578603728743,0.9570435990645506,0.72943414170233,0.9667840297615093
HanSeg,BC_nnUNet,AbsVolDiff_mL,42,0.8679 ± 0.6336,0.7649516156315803,0.10522026934325696,1.7990172353506086,0.009826755523681641,3.363597595214844
